AREA,PERIMETER,SONWESTS_,SONWESTS_I,ISO_,SOVID_NEW,ISOC,SUID,NEWSUID,ISOC,SUID,SOILMAPUNI,SOIL1,PROP1,PRID1,SOIL2,PROP2,PRID2,SOIL3,PROP3,PRID3,SOIL4,PROP4,PRID4,SOIL5,PROP5,PRID5,SOIL6,PROP6,PRID6,SOIL7,PROP7,PRID7,SOIL8,PROP8,PRID8,SOIL9,PROP9,PRID9,SOIL10,PROP10,PRID10,longitude,latitude
0.024948,1.097277,43,42,EE,EE0041,EE,41.0,EE41,EE,41.0,HSf1 [EE41],HSf,100.0,EE0041RR041,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.125381025348187,58.99372240083397
0.015726,0.667534,44,43,EE,EE0042,EE,42.0,EE42,EE,42.0,GLe2RGc5HSs5 [EE42],GLe,70.0,EE0026R0102,RGc,15.0,EE0009R2048,HSs,15.0,EE0042RR042,,,,,,,,,,,,,,,,,,,,,,23.521942521019618,59.03167064035589
0.021422,1.064042,45,44,EE,EE0040,EE,40.0,EE40,EE,40.0,GLe2RGc5HSs5 [EE40],GLe,70.0,EE0056PRN08,RGc,15.0,EE0061R1901,HSs,15.0,EE0040RR040,,,,,,,,,,,,,,,,,,,,,,22.559710381462608,58.98733060935285
0.044142,1.615984,46,45,EE,EE0043,EE,43.0,EE43,EE,43.0,RGc3GLe4HSs4 [EE43],RGc,45.0,EE0009R2048,GLe,35.0,EE0039R2033,HSs,20.0,EE0043RR043,,,,,,,,,,,,,,,,,,,,,,23.61670335173608,58.927428568600845
0.053944,1.747573,47,46,EE,EE0045,EE,45.0,EE45,EE,45.0,GLe2RGc5HSs5 [EE45],GLe,70.0,EE0039R2033,RGc,15.0,EE0009R2048,HSs,15.0,EE0045RR045,,,,,,,,,,,,,,,,,,,,,,23.786339196377366,58.85393620518003
0.03301,1.2016,48,47,EE,EE0044,EE,44.0,EE44,EE,44.0,PZc3PZh5HSf4GLe5 [EE44],PZc,40.0,EE0044PRN02,PZh,15.0,EE0044PRT14,HSf,30.0,EE0044RR044,GLe,15.0,EE0056PRN08,,,,,,,,,,,,,,,,,,,22.60790424609736,58.92886494020592
0.006583,0.601415,49,48,EE,EE0046,EE,46.0,EE46,EE,46.0,RGc2GLk4 [EE46],RGc,65.0,EE0061R1901,GLk,35.0,EE0061R1900,,,,,,,,,,,,,,,,,,,,,,,,,23.192198914958674,59.003672083935946
0.043297,1.804518,50,49,EE,EE0048,EE,48.0,EE48,EE,48.0,GLe1CMg5 [EE48],GLe,85.0,EE0072R0104,CMg,15.0,EE0009R1616,,,,,,,,,,,,,,,,,,,,,,,,,24.35299329012458,58.88544553783806
0.007987,0.496865,51,50,EE,EE0047,EE,47.0,EE47,EE,47.0,GLk2RGc5HSs5 [EE47],GLk,70.0,EE0061R1900,RGc,15.0,EE0061R1901,HSs,15.0,EE0047RR047,,,,,,,,,,,,,,,,,,,,,,23.29931766825035,59.005326061348185
0.020853,0.987512,52,51,EE,EE0050,EE,50.0,EE50,EE,50.0,RGc3GLk4HSs4 [EE50],RGc,45.0,EE0102R1643,GLk,35.0,EE0061R1900,HSs,20.0,EE0050RR050,,,,,,,,,,,,,,,,,,,,,,22.901857755322148,58.9319673946367
